Center_X,Center_Y
241.0,564.0
244.0,2361.5
244.0,920.0
246.0,1819.5
249.0,2412.5
442.0,781.5
444.0,1796.0
446.0,722.5
448.0,1904.0
449.0,2302.0
645.0,1084.0
645.0,624.5
648.0,676.5
651.0,1889.5
652.0,2280.5
809.0,2131.0
844.0,729.5
847.0,1865.5
847.0,682.0
848.0,2280.0
849.0,1670.0
850.0,364.0
850.0,1833.0
852.0,1024.0
854.0,2022.5
855.0,2358.0
856.0,1702.0
858.0,2370.0
1050.0,648.5
1051.0,1024.5
1053.0,1947.5
1054.0,2376.0
1054.0,801.0
1056.0,1711.0
1059.0,2416.0
1252.0,604.5
1256.0,1862.5
1257.0,804.5
1260.0,1975.0
1262.0,2311.5
1456.0,805.5
1460.0,1987.0
1461.0,2439.5
1461.0,942.0
1463.0,1843.0
