Center_X,Center_Y
249.0,2216.5
253.0,2148.5
255.0,1267.5
257.0,740.0
259.0,1162.0
260.0,812.0
456.0,2254.0
459.0,883.5
461.0,1332.0
463.0,809.5
654.0,2311.0
659.0,2267.5
662.0,895.5
665.0,1071.5
666.0,774.0
863.0,428.0
866.0,437.5
870.0,300.5
871.0,816.0
1050.0,2279.0
1055.0,2218.5
1056.0,894.5
1057.0,1462.0
1061.0,796.0
1062.0,517.0
1254.0,2246.5
1256.0,1507.0
1258.0,2372.5
1259.0,846.0
1260.0,1479.5
1264.0,788.0
1265.0,455.0
1457.0,2397.5
1460.0,1509.0
1461.0,1188.0
1462.0,2380.0
1463.0,709.0
1466.0,881.0
1468.0,629.5
