0.0,0.0,4.4,5.3,24.1,84.1,37.8,238
2.5,81.0,34.0,27.5,84.2,272
5.2,88.2,68.0,31.0,84.1,306
7.9,90.9,102,34.6,84.0,340
10.0,92.1,136,41.5,82.2,408
13.1,92.9,170,49.3,79.3,476
15.6,93.2,204,66.6*,66.6%,536
18.1,93.3,238,0.0,0.0,71.1,26.1
20.6,93.5,272,1.2,14.2,34.0
23.4,93.6,306,7.1,43.7,68.0
25.5,93.4,340,12.8,53.4,102
30.3,93.1,408,18.6,58.1,136
35.0,92.5,476,24.5,59.3,170
39.9,92.2,544,31.9,59.4,204
0.0,0.0,37.8,12.8,47.7%,дТЛ*,233
2.4,53.4,34.0,0.0,0.0,87.8,35.7
6.2,741.7,68.0,7.5,23.5,68.0
9.9,78.0,402,12.4,27.7,85.0
13.6,81.4,136,19.0,27.8,102
17.1,82.9,170,24.4%,24.4%,107
20.6,83.5,204
